year,stranded_val,asset_id,asset_domain,asset_type,existing_or_retrofit,scenario
2056,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2057,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2058,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2059,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2060,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2061,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2062,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2063,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2064,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2065,0.0,F_353059_2906776,building,building_aggregate,existing,hybrid_gas
2020,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2021,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2022,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2023,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2024,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2025,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2026,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2027,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2028,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2029,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2030,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2031,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2032,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2033,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2034,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2035,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2036,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2037,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2038,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2039,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2040,2970.3589684828357,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2041,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2042,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2043,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2044,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2045,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2046,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2047,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2048,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2049,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2050,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2051,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2052,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2053,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2054,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2055,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2056,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2057,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2058,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2059,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2060,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2061,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2062,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2063,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2064,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2065,0.0,F_353062_2906646,building,building_aggregate,existing,hybrid_gas
2020,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2021,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2022,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2023,2037.797863805744,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2024,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2025,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2026,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2027,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2028,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2029,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2030,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2031,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2032,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2033,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2034,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2035,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2036,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2037,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2038,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2039,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2040,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2041,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2042,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2043,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2044,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2045,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2046,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2047,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2048,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2049,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2050,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2051,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2052,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2053,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2054,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2055,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2056,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2057,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2058,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2059,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2060,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2061,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2062,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2063,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2064,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2065,0.0,F_353064_2906586,building,building_aggregate,existing,hybrid_gas
2020,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2021,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2022,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2023,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2024,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2025,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2026,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2027,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2028,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2029,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2030,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2031,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2032,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2033,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2034,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2035,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2036,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2037,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2038,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2039,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2040,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2041,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2042,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2043,3106.1248110005763,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2044,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2045,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2046,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2047,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2048,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2049,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2050,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2051,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2052,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2053,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2054,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2055,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2056,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2057,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2058,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2059,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2060,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2061,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2062,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2063,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2064,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2065,0.0,F_353079_2906099,building,building_aggregate,existing,hybrid_gas
2020,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2021,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2022,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2023,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2024,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2025,2038.1430099159188,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2026,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2027,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2028,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2029,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2030,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2031,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2032,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2033,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2034,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2035,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2036,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2037,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2038,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2039,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2040,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2041,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2042,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2043,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2044,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2045,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2046,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2047,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2048,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2049,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2050,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2051,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2052,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2053,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2054,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2055,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2056,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2057,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2058,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2059,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2060,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2061,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2062,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2063,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2064,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2065,0.0,F_353079_2906053,building,building_aggregate,existing,hybrid_gas
2020,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2021,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2022,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2023,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2024,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2025,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2026,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2027,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2028,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2029,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2030,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2031,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2032,2481.6146887936893,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2033,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2034,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2035,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2036,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2037,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2038,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2039,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2040,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2041,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2042,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2043,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2044,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2045,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2046,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2047,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2048,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2049,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2050,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2051,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2052,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2053,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2054,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2055,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2056,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2057,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2058,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2059,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2060,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2061,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2062,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2063,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2064,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2065,0.0,F_353081_2906005,building,building_aggregate,existing,hybrid_gas
2020,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2021,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2022,1891.936176467492,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2023,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2024,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2025,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2026,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2027,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2028,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2029,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2030,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2031,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2032,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2033,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2034,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2035,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2036,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2037,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2038,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2039,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2040,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2041,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2042,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2043,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2044,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2045,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2046,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2047,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2048,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2049,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2050,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2051,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2052,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2053,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2054,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2055,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2056,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2057,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2058,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2059,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2060,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2061,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2062,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2063,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2064,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2065,0.0,F_353083_2905948,building,building_aggregate,existing,hybrid_gas
2020,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2021,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2022,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2023,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2024,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2025,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2026,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2027,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2028,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2029,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2030,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2031,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2032,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2033,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2034,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2035,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2036,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2037,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2038,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2039,2898.858294498438,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2040,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2041,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2042,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2043,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2044,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2045,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2046,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2047,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2048,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2049,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2050,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2051,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2052,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2053,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2054,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2055,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2056,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2057,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2058,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2059,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2060,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2061,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2062,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2063,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2064,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2065,0.0,F_353084_2905882,building,building_aggregate,existing,hybrid_gas
2020,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2021,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2022,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2023,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2024,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2025,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2026,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2027,2076.7659903376807,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2028,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2029,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2030,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2031,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2032,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2033,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2034,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2035,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
2036,0.0,F_353065_2906524,building,building_aggregate,existing,hybrid_gas
